number,name,method,fold,symbolCount,numOfAttentionLayers,header,dmodel,dff,ncoef,strategy,architecture,dropout,num_resblocks,num_channels,use_1x1conv,lr,Test Accuracy
1,Adiac,CATCH24_SYM,3,6,3.0,4.0,128.0,64.0,,quantile,transformer,0.0,,,,,0.5575447570332481
1,Adiac,CATCH24_SYM,4,6,3.0,4.0,128.0,64.0,,quantile,transformer,0.0,,,,,0.5089514066496164
1,Adiac,CATCH24_SYM,0,5,,,,,,uniform,resnet,,3.0,16.0,True,True,0.31202046035805625
1,Adiac,CATCH24_SYM,1,5,,,,,,uniform,resnet,,3.0,16.0,True,True,0.2966751918158568
1,Adiac,CATCH24_SYM,2,5,,,,,,uniform,resnet,,3.0,16.0,True,True,0.24040920716112532
1,Adiac,CATCH24_SYM,3,5,,,,,,uniform,resnet,,3.0,16.0,True,True,0.31202046035805625
1,Adiac,CATCH24_SYM,4,5,,,,,,uniform,resnet,,3.0,16.0,True,True,0.309462915601023
1,Adiac,CATCH24_SYM,0,5,,,,,,uniform,resnet,,3.0,64.0,True,True,0.32225063938618925
1,Adiac,CATCH24_SYM,1,5,,,,,,uniform,resnet,,3.0,64.0,True,True,0.3171355498721228
1,Adiac,CATCH24_SYM,2,5,,,,,,uniform,resnet,,3.0,64.0,True,True,0.29411764705882354
1,Adiac,CATCH24_SYM,3,5,,,,,,uniform,resnet,,3.0,64.0,True,True,0.38618925831202044
1,Adiac,CATCH24_SYM,4,5,,,,,,uniform,resnet,,3.0,64.0,True,True,0.32225063938618925
1,Adiac,CATCH24_SYM,0,5,,,,,,quantile,resnet,,3.0,16.0,True,True,0.4194373401534527
1,Adiac,CATCH24_SYM,1,5,,,,,,quantile,resnet,,3.0,16.0,True,True,0.4296675191815857
1,Adiac,CATCH24_SYM,2,5,,,,,,quantile,resnet,,3.0,16.0,True,True,0.45012787723785164
1,Adiac,CATCH24_SYM,3,5,,,,,,quantile,resnet,,3.0,16.0,True,True,0.4833759590792839
1,Adiac,CATCH24_SYM,4,5,,,,,,quantile,resnet,,3.0,16.0,True,True,0.4398976982097187
1,Adiac,CATCH24_SYM,0,5,,,,,,quantile,resnet,,3.0,64.0,True,True,0.4859335038363171
1,Adiac,CATCH24_SYM,1,5,,,,,,quantile,resnet,,3.0,64.0,True,True,0.48081841432225064
1,Adiac,CATCH24_SYM,2,5,,,,,,quantile,resnet,,3.0,64.0,True,True,0.44501278772378516
1,Adiac,CATCH24_SYM,3,5,,,,,,quantile,resnet,,3.0,64.0,True,True,0.4143222506393862
1,Adiac,CATCH24_SYM,4,5,,,,,,quantile,resnet,,3.0,64.0,True,True,0.40664961636828645
1,Adiac,CATCH24_SYM,0,6,,,,,,uniform,resnet,,3.0,16.0,True,True,0.4092071611253197
1,Adiac,CATCH24_SYM,1,6,,,,,,uniform,resnet,,3.0,16.0,True,True,0.34782608695652173
1,Adiac,CATCH24_SYM,2,6,,,,,,uniform,resnet,,3.0,16.0,True,True,0.30179028132992325
1,Adiac,CATCH24_SYM,3,6,,,,,,uniform,resnet,,3.0,16.0,True,True,0.3248081841432225
1,Adiac,CATCH24_SYM,4,6,,,,,,uniform,resnet,,3.0,16.0,True,True,0.3273657289002558
1,Adiac,CATCH24_SYM,0,6,,,,,,uniform,resnet,,3.0,64.0,True,True,0.33248081841432225
1,Adiac,CATCH24_SYM,1,6,,,,,,uniform,resnet,,3.0,64.0,True,True,0.3069053708439898
1,Adiac,CATCH24_SYM,2,6,,,,,,uniform,resnet,,3.0,64.0,True,True,0.3069053708439898
1,Adiac,CATCH24_SYM,3,6,,,,,,uniform,resnet,,3.0,64.0,True,True,0.3554987212276215
