number,symbolCount,numOfAttentionLayers,method,header,dmodel,dff,ncoef,strategy,architecture,dropout,name,num_resblocks,num_channels,use_1x1conv,lr,Test Accuracy,fold
10,0,3.0,TSFEL,4.0,32.0,16.0,,,transformer,0.0,CBF,,,,,0.5622222222222222,3
10,0,3.0,TSFEL,4.0,32.0,16.0,,,transformer,0.0,CBF,,,,,0.73,4
10,0,3.0,TSFEAT,4.0,32.0,16.0,,,transformer,0.0,CBF,,,,,0.8788888888888889,0
10,0,3.0,TSFEAT,4.0,32.0,16.0,,,transformer,0.0,CBF,,,,,0.8955555555555555,1
10,0,3.0,TSFEAT,4.0,32.0,16.0,,,transformer,0.0,CBF,,,,,0.8044444444444444,2
10,0,3.0,TSFEAT,4.0,32.0,16.0,,,transformer,0.0,CBF,,,,,0.6788888888888889,3
10,0,3.0,TSFEAT,4.0,32.0,16.0,,,transformer,0.0,CBF,,,,,0.78,4
11,0,3.0,ORI,4.0,32.0,16.0,,,transformer,0.0,Car,,,,,0.7666666666666667,0
11,0,3.0,ORI,4.0,32.0,16.0,,,transformer,0.0,Car,,,,,0.8166666666666667,1
11,0,3.0,ORI,4.0,32.0,16.0,,,transformer,0.0,Car,,,,,0.7166666666666667,2
11,0,3.0,ORI,4.0,32.0,16.0,,,transformer,0.0,Car,,,,,0.8666666666666667,3
11,0,3.0,ORI,4.0,32.0,16.0,,,transformer,0.0,Car,,,,,0.7666666666666667,4
11,0,3.0,TSFEAT,4.0,32.0,16.0,,,transformer,0.0,Car,,,,,0.5333333333333333,0
11,0,3.0,TSFEAT,4.0,32.0,16.0,,,transformer,0.0,Car,,,,,0.5666666666666667,1
11,0,3.0,TSFEAT,4.0,32.0,16.0,,,transformer,0.0,Car,,,,,0.2,2
11,0,3.0,TSFEAT,4.0,32.0,16.0,,,transformer,0.0,Car,,,,,0.5666666666666667,3
11,0,3.0,TSFEAT,4.0,32.0,16.0,,,transformer,0.0,Car,,,,,0.5666666666666667,4
12,0,3.0,TSFRESH,4.0,32.0,16.0,,,transformer,0.0,Chinatown,,,,,0.2565597667638484,0
12,0,3.0,TSFRESH,4.0,32.0,16.0,,,transformer,0.0,Chinatown,,,,,0.9504373177842566,1
12,0,3.0,TSFRESH,4.0,32.0,16.0,,,transformer,0.0,Chinatown,,,,,0.9212827988338192,2
12,0,3.0,TSFRESH,4.0,32.0,16.0,,,transformer,0.0,Chinatown,,,,,0.892128279883382,3
12,0,3.0,TSFRESH,4.0,32.0,16.0,,,transformer,0.0,Chinatown,,,,,0.9620991253644315,4
12,0,3.0,CATCH22,4.0,32.0,16.0,,,transformer,0.0,Chinatown,,,,,0.760932944606414,0
12,0,3.0,CATCH22,4.0,32.0,16.0,,,transformer,0.0,Chinatown,,,,,0.760932944606414,1
12,0,3.0,CATCH22,4.0,32.0,16.0,,,transformer,0.0,Chinatown,,,,,0.8950437317784257,2
12,0,3.0,CATCH22,4.0,32.0,16.0,,,transformer,0.0,Chinatown,,,,,0.7842565597667639,3
12,0,3.0,CATCH22,4.0,32.0,16.0,,,transformer,0.0,Chinatown,,,,,0.7784256559766763,4
12,0,3.0,TOOLS,4.0,32.0,16.0,,,transformer,0.0,Chinatown,,,,,0.7725947521865889,0
12,0,3.0,TOOLS,4.0,32.0,16.0,,,transformer,0.0,Chinatown,,,,,0.6793002915451894,1
12,0,3.0,TOOLS,4.0,32.0,16.0,,,transformer,0.0,Chinatown,,,,,0.7201166180758017,2
12,0,3.0,TOOLS,4.0,32.0,16.0,,,transformer,0.0,Chinatown,,,,,0.673469387755102,3
12,0,3.0,TOOLS,4.0,32.0,16.0,,,transformer,0.0,Chinatown,,,,,0.7376093294460642,4
13,0,3.0,TSFRESH_SEL,4.0,32.0,16.0,,,transformer,0.0,ChlorineConcentration,,,,,0.5625,0
13,0,3.0,TSFRESH_SEL,4.0,32.0,16.0,,,transformer,0.0,ChlorineConcentration,,,,,0.5598958333333334,1
13,0,3.0,TSFRESH_SEL,4.0,32.0,16.0,,,transformer,0.0,ChlorineConcentration,,,,,0.5661458333333333,2
13,0,3.0,TSFRESH_SEL,4.0,32.0,16.0,,,transformer,0.0,ChlorineConcentration,,,,,0.5346354166666667,3
13,0,3.0,TSFRESH_SEL,4.0,32.0,16.0,,,transformer,0.0,ChlorineConcentration,,,,,0.5325520833333334,4
13,0,3.0,CATCH22,4.0,32.0,16.0,,,transformer,0.0,ChlorineConcentration,,,,,0.5484375,0
13,0,3.0,CATCH22,4.0,32.0,16.0,,,transformer,0.0,ChlorineConcentration,,,,,0.5440104166666667,1
13,0,3.0,CATCH22,4.0,32.0,16.0,,,transformer,0.0,ChlorineConcentration,,,,,0.5489583333333333,2
13,0,3.0,CATCH22,4.0,32.0,16.0,,,transformer,0.0,ChlorineConcentration,,,,,0.5333333333333333,3
13,0,3.0,CATCH22,4.0,32.0,16.0,,,transformer,0.0,ChlorineConcentration,,,,,0.5325520833333334,4
13,0,3.0,TSFEAT,4.0,32.0,16.0,,,transformer,0.0,ChlorineConcentration,,,,,0.5380208333333333,0
13,0,3.0,TSFEAT,4.0,32.0,16.0,,,transformer,0.0,ChlorineConcentration,,,,,0.5588541666666667,1
13,0,3.0,TSFEAT,4.0,32.0,16.0,,,transformer,0.0,ChlorineConcentration,,,,,0.5356770833333333,2
13,0,3.0,TSFEAT,4.0,32.0,16.0,,,transformer,0.0,ChlorineConcentration,,,,,0.5390625,3
13,0,3.0,TSFEAT,4.0,32.0,16.0,,,transformer,0.0,ChlorineConcentration,,,,,0.5325520833333334,4
13,0,3.0,TOOLS,4.0,32.0,16.0,,,transformer,0.0,ChlorineConcentration,,,,,0.5575520833333333,0
13,0,3.0,TOOLS,4.0,32.0,16.0,,,transformer,0.0,ChlorineConcentration,,,,,0.55,1
13,0,3.0,TOOLS,4.0,32.0,16.0,,,transformer,0.0,ChlorineConcentration,,,,,0.5578125,2
13,0,3.0,TOOLS,4.0,32.0,16.0,,,transformer,0.0,ChlorineConcentration,,,,,0.5325520833333334,3
13,0,3.0,TOOLS,4.0,32.0,16.0,,,transformer,0.0,ChlorineConcentration,,,,,0.5380208333333333,4
15,0,3.0,TSFRESH,4.0,32.0,16.0,,,transformer,0.0,Coffee,,,,,0.5714285714285714,0
15,0,3.0,TSFRESH,4.0,32.0,16.0,,,transformer,0.0,Coffee,,,,,0.8571428571428571,1
15,0,3.0,TSFRESH,4.0,32.0,16.0,,,transformer,0.0,Coffee,,,,,0.8571428571428571,2
15,0,3.0,TSFRESH,4.0,32.0,16.0,,,transformer,0.0,Coffee,,,,,0.8571428571428571,3
15,0,3.0,TSFRESH,4.0,32.0,16.0,,,transformer,0.0,Coffee,,,,,0.8214285714285714,4
15,0,3.0,TSFEL,4.0,32.0,16.0,,,transformer,0.0,Coffee,,,,,0.7857142857142857,0
15,0,3.0,TSFEL,4.0,32.0,16.0,,,transformer,0.0,Coffee,,,,,0.75,1
15,0,3.0,TSFEL,4.0,32.0,16.0,,,transformer,0.0,Coffee,,,,,0.75,2
15,0,3.0,TSFEL,4.0,32.0,16.0,,,transformer,0.0,Coffee,,,,,0.75,3
15,0,3.0,TSFEL,4.0,32.0,16.0,,,transformer,0.0,Coffee,,,,,0.75,4
15,0,3.0,CATCH24,4.0,32.0,16.0,,,transformer,0.0,Coffee,,,,,0.9642857142857143,0
15,0,3.0,CATCH24,4.0,32.0,16.0,,,transformer,0.0,Coffee,,,,,1.0,1
15,0,3.0,CATCH24,4.0,32.0,16.0,,,transformer,0.0,Coffee,,,,,1.0,2
15,0,3.0,CATCH24,4.0,32.0,16.0,,,transformer,0.0,Coffee,,,,,0.5357142857142857,3
